Game_ID,Full Description,Category,Studio_Name
Plants vs. Zombies 2,"Tower DefenseMatch-three puzzle game with colorful graphics and challenges.Defend your kingdom from hordes of enemies in this visually stunning tower defense game, upgrading towers and heroes to win the battle.PopCap Games / Electronic Arts",Tower Defense,PopCap Games / Electronic Arts
Pokémon TCG Online,"Card GamesAdventure with survival elements.Collect cards featuring iconic creatures and characters from a beloved franchise, using strategy and deck-building to become the best duelist.The Pokémon Company",Card Games,The Pokémon Company
PUBG Mobile,"Action/AdventureBattle royale shooter with tactical gameplay.A battle royale experience where players fight to survive on a shrinking map, using strategy, teamwork, and a variety of weapons to be the last one standing.PUBG Corporation / Tencent Games",Action/Adventure,PUBG Corporation / Tencent Games
Raid: Shadow Legends,"Role-Playing Games (RPG)Turn-based RPG with epic battles and character upgrades.Assemble a team of powerful champions and embark on a journey through a fantasy world, battling fearsome enemies and collecting rewards along the way.Plarium",Role-Playing Games (RPG),Plarium
Rayman Adventures,"PlatformersFast-paced gameplay focused on instant retries.Explore vibrant worlds in this side-scrolling adventure, solving puzzles and battling enemies as you embark on an epic quest.Ubisoft",Platformers,Ubisoft
Real Cricket 20,"SportsSports game with realistic cricket matches.Take control of a cricket team, strategize, and compete in various modes, from one-day internationals to test matches.Nautilus Mobile",Sports,Nautilus Mobile
Real Racing 3,"RacingRacing game with realistic racing mechanics.Compete in realistic races with detailed cars, racing across real-world tracks and engaging in competitive events to win championships.Firemonkeys Studios",Racing,Firemonkeys Studios
Realm Defense,"Tower DefenseBrain-teaser game involving creative solutions.Protect your kingdom from invaders by placing towers and upgrading them, using tactics and strategy to fend off enemies in a fantasy world.Rottz Games",Tower Defense,Rottz Games
Realm Grinder,"Idle GamesDeck-building game with card mechanics and strategy.Defend your garden from waves of hilarious zombie enemies, using plants with unique abilities in this popular tower defense game.Kongregate",Idle Games,Kongregate
Rise of Kingdoms,"StrategyReal-time strategy game with civilization development.Lead your civilization from humble beginnings to a global empire, forming alliances, engaging in battles, and expanding your territory in a grand strategy world.Lilith Games",Strategy,Lilith Games
Roblox,"Sandbox/Open WorldOpen-world sandbox game allowing players to build, explore, and survive.Explore a vast virtual world filled with user-generated content, games, and adventures, where players can create and share their own experiences.Roblox Corporation",Sandbox/Open World,Roblox Corporation
Ruzzle,"Word GamesFast-paced word game that challenges players to find words in a grid.Compete in fast-paced word games with players around the world, using strategy and quick thinking to form words and win matches.MAG Interactive",Word Games,MAG Interactive
Score! Hero,"SportsSports game with goal-scoring challenges.A soccer game where players use quick reflexes and strategy to lead a team through matches, scoring goals and advancing through leagues.First Touch Games",Sports,First Touch Games
Scrabble GO,"Word GamesDigital version of the classic word game, allowing competitive play.A digital version of the classic word game where players compete to form words and outscore their opponents using strategy and vocabulary.Scopely",Word Games,Scopely
Shadow Blade,"PlatformersPhysics interactions offering unique gameplay experiences.Play as a ninja in this fast-paced action-platformer, slicing through enemies and avoiding deadly traps in dangerous environments.Crescent Moon Games",Platformers,Crescent Moon Games
Shadowgun Legends,"ShooterOff-road racing game with vehicle upgrades and tracks.Join intense multiplayer battles in a futuristic setting, using powerful weapons and skills to defeat enemies in fast-paced shooter combat.Madfinger Games",Shooter,Madfinger Games
Shadowverse,"Card GamesAdventure featuring mystery and hidden objects.Battle opponents in a strategic card game set in a fantasy world, summoning creatures, casting spells, and using tactics to claim victory.Cygames",Card Games,Cygames
SimCity BuildIt,"SimulationCasino game with poker mechanics.Build and manage a city, from constructing buildings to handling resources, while ensuring the happiness of citizens in a bustling metropolis.Maxis / Electronic Arts",Simulation,Maxis / Electronic Arts
Slendrina,"HorrorHorror game focused on finding items while evading a terrifying creature.Escape from a haunted location filled with creepy monsters, solving puzzles and avoiding danger to survive the nightmare.DVloper",Horror,DVloper
Slotomania,"CasinoProcedurally generated levels with unique enemies.Spin the reels and win big in this mobile slot machine game, featuring a variety of themes, bonus rounds, and chances to hit the jackpot.Playtika",Casino,Playtika
Smash Hit,"ArcadeArcade puzzle with color-matching challenges.Smash through glass and obstacles in this stunning, physics-based arcade game with mesmerizing visuals and fast-paced gameplay.Mediocre",Arcade,Mediocre
Sniper 3D,ShooterRacing game featuring drag racing and car customization.Take on the role of a sniper and complete challenging missions with precise targeting to eliminate enemies in various locations.Fun Games For Free,Shooter,Fun Games For Free
Solitaire,"Card GamesAdventure with detective storylines.A digital version of the classic solitaire card game, where players must organize cards in descending order to complete the deck and win.MobilityWare",Card Games,MobilityWare
Standoff 2,"ShooterToy car racing game with fun tracks and power-ups.Compete in fast-paced, team-based tactical shooting battles against players worldwide in this competitive multiplayer shooter.Axlebolt",Shooter,Axlebolt
Star Walk 2,"EducationalHigh-speed racing game with arcade-style controls.Explore the night sky in real-time, identifying stars, planets, and constellations using augmented reality for a fun stargazing experience.Vito Technology",Educational,Vito Technology
Star Wars: Galaxy of Heroes,"Role-Playing Games (RPG)Collectible RPG with characters from popular franchises.Create a squad of famous characters from an iconic sci-fi universe, battling enemies in turn-based combat across different planets and scenarios.Capital Games",Role-Playing Games (RPG),Capital Games
State of Survival,"StrategyStrategy game with zombie apocalypse theme.Survivors must work together to rebuild society after a devastating apocalypse, fending off hordes of zombies and hostile factions while managing resources.KingsGroup Holdings",Strategy,KingsGroup Holdings
Subway Surfers,"ArcadeArcade shooter with fast-paced action.Run through a city filled with obstacles, collecting coins and power-ups while avoiding capture in this fast-paced endless runner.Kiloo / SYBO Games",Arcade,Kiloo / SYBO Games
Super Mario Run,"PlatformersMinimalist design emphasizing user-friendly controls.Join an iconic character in this side-scrolling platformer, running, jumping, and collecting coins while overcoming obstacles.Nintendo",Platformers,Nintendo
Survivalcraft 2,"Sandbox/Open WorldCreative building game where players can design their worlds using blocks.Build and survive in a blocky world, gathering resources and crafting tools to create your own shelter and protect yourself from dangers.Candy Rufus Games",Sandbox/Open World,Candy Rufus Games
Swordigo,"PlatformersRelaxing atmosphere with casual challenges.Embark on an epic quest in this action-platformer, battling enemies and solving puzzles as you explore dungeons and magical lands.Touch Foo",Platformers,Touch Foo
Tap Tap Music,"Music/Rhythm2D platformer with unique mechanics and character abilities.Build a team of powerful heroes and battle enemies in an idle RPG, where progression happens even when you’re not playing.Timi Studio",Music/Rhythm,Timi Studio
Tap Titans 2,"Idle GamesSimulation game focusing on farming management and crop growth.Battle through waves of enemies in this idle game, upgrading heroes and unlocking abilities to deal damage even when you’re away.Game Hive Corporation",Idle Games,Game Hive Corporation
Temple Run 2,"ArcadeArcade racing with drift mechanics.Escape through ancient ruins while avoiding traps and obstacles in this thrilling, fast-paced endless runner.Imangi Studios",Arcade,Imangi Studios
Tennis Clash,"SportsSports game with tennis gameplay.Compete in thrilling tennis matches, mastering timing, strategy, and techniques to outplay opponents and win tournaments.Wild Life Studios",Sports,Wild Life Studios
Terraria,"Sandbox/Open WorldSurvival sandbox game with crafting and resource management.Explore, mine, and craft your way through a 2D pixelated world, surviving against monsters and uncovering hidden treasures.Re-Logic",Sandbox/Open World,Re-Logic
The Blockheads,"Sandbox/Open WorldSandbox game featuring crafting mechanics and resource management.Step into a gritty open-world city, completing missions, engaging in criminal activities, and navigating a sprawling urban environment filled with danger.Majic Jungle Software",Sandbox/Open World,Majic Jungle Software
The Elder Scrolls: Legends,Card GamesAdventure with episodic storytelling.Players battle using decks of powerful cards in a strategic game set in a well-known fantasy world filled with rich lore and iconic characters.Bethesda,Card Games,Bethesda
The Sims Mobile,"SimulationCasino with virtual slot machines.Create a virtual family, build a home, and navigate life’s challenges in a simulation game where players control every aspect of their characters' lives.Maxis / Electronic Arts",Simulation,Maxis / Electronic Arts
The Walking Dead: Our World,"HorrorAR zombie survival game based on a popular series, involving real-world exploration.Survive in a zombie-infested world using augmented reality, battling the undead in real-time and gathering resources to rebuild society.Next Games",Horror,Next Games
Toca Life World,"EducationalCompetitive golf game with online challenges.Build and explore your own imaginative world, interacting with colorful characters and environments to create endless stories and adventures.Toca Boca",Educational,Toca Boca
Toon Blast,"PuzzlePuzzle game with match mechanics and cartoon-themed levels.Match colorful blocks to complete levels and challenges, advancing through whimsical worlds and unlocking power-ups along the way.Peak Games",Puzzle,Peak Games
Township,"SimulationCasino focusing on blackjack and card games.A town-building game where players grow crops, raise animals, and expand their community while completing various tasks and quests.Playrix",Simulation,Playrix
Toy Defense Fantasy,"Tower DefenseIdle RPG with auto-battling and hero collecting.Learn new languages with interactive lessons, quizzes, and challenges that help build vocabulary and speaking skills.Melsoft Games",Tower Defense,Melsoft Games
Traffic Racer,"RacingRacing game with endless traffic navigation.Speed through traffic-filled highways, avoiding obstacles and vehicles as you race to get the highest score in this endless runner-style racing game.Soner Kara",Racing,Soner Kara
Two Dots,PuzzlePuzzle game focused on connecting dots to solve levels.Connect dots of the same color to solve puzzles and advance through minimalist levels filled with increasingly complex challenges.Playdots,Puzzle,Playdots
Vainglory,"Multiplayer Online Battle Arena (MOBA)Platformer with jump-and-run challenges.Take control of heroes with unique abilities and fight in real-time battles against other players, utilizing teamwork and tactics to win matches.Super Evil Megacorp",Multiplayer Online Battle Arena (MOBA),Super Evil Megacorp
VOEZ,"Music/RhythmArcade-style action game featuring shooting mechanics.A rhythm game where players tap along to music, navigating through various levels and mastering increasingly difficult tracks.Rayark Games",Music/Rhythm,Rayark Games
Warface: Global Operations,"ShooterRacing game featuring official Formula 1 licenses and teams.Join global combat missions in this fast-paced first-person shooter, working with your team to defeat enemies and complete objectives.Crytek",Shooter,Crytek
Word Connect,"Word GamesWord puzzle game focused on connecting letters to form words.Unscramble letters to form words and solve puzzles, advancing through levels filled with fun and engaging word challenges.BitMango",Word Games,Bitmango
Word Cookies,"Word GamesWord puzzle game where players create words from given letters.Solve a series of word puzzles by connecting letters and finding hidden words, advancing through levels and unlocking new challenges.Bitmango",Word Games,Bitmango
WordBrain,"Word GamesWord puzzle game with increasing difficulty that challenges vocabulary.Solve brain-teasing word puzzles, connecting letters to form words and advance through levels filled with challenging vocabulary tests.MAG Interactive",Word Games,MAG Interactive
Words With Friends 2,"Word GamesMultiplayer word-building game, similar to Scrabble.Play word games with friends in real-time, competing to find the best words and score the most points on a digital game board.Zynga",Word Games,Zynga
Wordscapes,Word GamesPuzzle game combining crossword and word search mechanics.Solve challenging word puzzles by connecting letters and discovering hidden words in this addictive and relaxing game.PeopleFun,Word Games,PeopleFun
World Soccer Champs,"SportsSports game with soccer management features.Manage a soccer team, making key decisions on formations, tactics, and transfers as you guide your club to victory in global competitions.Mobibean",Sports,Mobibean
World War Rising,"StrategyStrategy war game with base-building mechanics.Wage global warfare in a futuristic world, building armies, managing resources, and forging alliances to dominate the battlefield.Gaea Mobile",Strategy,Gaea Mobile
Yu-Gi-Oh! Duel Links,Card GamesAdventure game featuring story-rich content.Duel against opponents using a mix of iconic cards and powerful monsters in this mobile adaptation of a classic card battle game.Duel Links - Konami,Card Games,Duel Links - Konami
Zynga Poker,"CasinoTurn-based combat game with permadeath features.Play Texas Hold'em poker against players from around the world, building your stack and competing in high-stakes tournaments.Zynga",Casino,Zynga
